vendor_id,company_name,email_address,address,contact_person,registration_date,phone_number,notes
25,"Lopez and Sons",smithjose@wilson.com,"7859 Eric Mall
Nelsonmouth, MS 23373","Reginald Jones",2023-08-19,6599027473,"Generated by Faker."
26,"Murphy, Estrada and Haney",valenzuelasean@brooks-blackwell.com,"29821 Lopez Groves
West Isaac, HI 53917","Sharon Roberts",2023-02-27,(361)571-8508x8333,"Generated by Faker."
27,Bryant-Hunter,walkerjennifer@owens-ward.com,"87363 Haley Way
Millerberg, ME 01271","Tina Landry",2022-04-08,001-857-424-0812x802,"Generated by Faker."
28,Robinson-Green,russell82@perry.com,"470 Castro Well Suite 748
Jennytown, VA 47378","Michael Christensen",2022-04-05,218.456.5209x84877,"Generated by Faker."
29,Gonzalez-Bauer,andrewprice@quinn-briggs.com,"7700 Sullivan Green Apt. 716
Jessicamouth, VI 28368","Daisy Woods",2023-04-25,301-702-9382x77890,"Generated by Faker."
30,Zimmerman-Walker,diazdaniel@baker.com,"747 Lisa Lakes Suite 400
South Rachel, MP 05515","Brianna Griffith",2022-04-10,001-982-918-9832x995,"Generated by Faker."
31,"Osborne Ltd",williamsmason@smith.com,"3593 Day Ranch
Port Jennifer, ID 32102","Kellie Jones",2022-08-14,(372)837-8421,"Generated by Faker."
32,Aguirre-Robertson,justinroberts@king.com,"40222 Nicole Loop
East Shellyborough, NC 32827","Sonia Parker",2022-08-11,303.642.5184x81548,"Generated by Faker."
33,"Cardenas, Cox and Garza",butlerrachel@brown-wright.info,"39362 Rodriguez Green
Lake Juanfurt, VT 32294","Christine Hernandez",2023-09-12,722.675.1727x635,"Generated by Faker."
34,"Martinez, Young and Kelly",melissa66@turner.com,"2636 Wendy Shoal Suite 420
East Andrea, MN 79094","Shawn Sparks",2022-04-20,+1-439-945-7474x1316,"Generated by Faker."
35,"Smith Inc",amber15@clements.net,"2293 Gregory Prairie
South Jamie, TX 45442","Jennifer Reed",2022-03-29,459.873.0093,"Generated by Faker."
36,Jackson-Hays,brittneyrowe@mcguire-boyer.net,"901 Sparks Springs
New Leslie, ND 49006","Elizabeth Miller",2024-02-21,001-897-387-1865x969,"Generated by Faker."
37,"Dixon Inc",rosebrian@roman-pitts.com,"00913 Shelly Square Apt. 386
Brianmouth, DC 26977","Joseph Beard",2022-12-14,001-592-263-7115x261,"Generated by Faker."
38,"Davis Ltd",holmesfrank@copeland.info,"766 Patricia Alley Apt. 657
Danielschester, OK 52104","Christopher Stewart",2022-08-30,869.931.7411,"Generated by Faker."
39,"Hurley PLC",jasonwalker@white.com,"USCGC Mueller
FPO AE 32112","Joel Smith",2022-11-24,467-523-9095x6264,"Generated by Faker."
40,"Brady, Mckee and Porter",farleyrebecca@rodgers.com,"390 Hannah Walk
Lake Kristymouth, WA 36422","Theresa Parker",2024-01-20,527-334-1736,"Generated by Faker."
41,Robinson-Walker,katherine14@peterson-vincent.com,"45914 Faith Lakes Suite 426
North Summertown, MO 49122","Gilbert Clark",2022-12-16,660-411-1402x006,"Generated by Faker."
42,"Robinson, Williams and Walker",olane@brown.com,"999 Smith Route Suite 261
Villamouth, AR 60303","Jeffrey Hardy",2023-05-10,953-211-9856x00032,"Generated by Faker."
43,Ramirez-Palmer,ycasey@cook-cannon.org,"38557 Diaz Neck Suite 700
New Sandra, IL 06486","Kimberly Ramirez",2022-06-09,001-926-342-2622x728,"Generated by Faker."
